id,packetid,bpm,mov,bat,temp,gsr
5,23,103,71,401,2800,445
1,162,123,24,404,2881,521
4,41,191,29,403,3268,160
5,24,85,81,401,2800,390
1,163,109,42,404,2881,504
4,42,172,41,403,3268,166
5,25,79,70,401,2812,455
1,164,109,74,404,2881,453
1,164,109,74,404,2881,453
4,43,153,41,403,3275,162
5,26,77,31,402,2850,478
1,165,92,25,404,2900,376
4,44,123,32,403,3275,166
5,27,78,44,402,2881,415
1,166,85,43,404,2950,372
4,45,100,33,403,3275,160
5,28,79,18,402,2906,400
1,167,86,12,404,2987,371
4,46,94,9,403,3275,157
5,29,79,15,402,2931,391
1,168,86,11,404,3012,369
4,47,83,6,403,3275,160
5,30,74,12,402,2950,388
1,169,78,9,404,3037,369
4,48,80,5,403,3275,163
5,31,92,10,403,2968,385
1,170,80,9,404,3050,371
4,49,81,4,403,3275,163
5,32,96,8,403,2981,383
1,171,88,6,404,3062,371
1,171,88,6,404,3062,371
4,50,89,4,403,3275,161
5,33,96,7,402,2993,381
1,172,95,8,404,3075,372
4,51,96,4,403,3275,159
5,34,94,11,403,3000,383
1,173,94,8,404,3081,379
4,52,94,3,403,3275,158
5,35,94,12,403,3006,377
1,174,102,8,404,3093,373
4,53,102,4,403,3275,163
5,36,102,30,403,3012,389
1,175,100,8,404,3100,373
4,54,100,4,403,3275,159
1,176,98,9,404,3106,377
1,176,98,9,404,3106,377
4,55,98,6,403,3275,159
5,38,98,75,403,3018,456
1,177,98,10,404,3112,381
4,56,98,5,403,3275,159
5,39,98,62,403,3012,443
1,178,99,8,404,3112,375
4,57,99,4,403,3275,159
5,40,99,21,403,3012,404
1,179,100,9,404,3118,370
4,58,101,6,403,3275,161
5,41,101,11,403,3012,399
1,180,102,8,404,3125,369
4,59,102,5,403,3281,164
5,42,102,9,403,3018,394
5,42,102,9,403,3018,394
1,181,102,22,404,3125,368
4,60,102,13,403,3275,161
4,60,102,13,403,3275,161
5,43,102,14,403,3025,388
4,61,102,31,403,3275,161
5,44,112,32,403,3031,391
1,183,93,28,404,3131,381
4,62,102,24,403,3275,161
5,45,114,19,403,3031,389
1,184,93,11,404,3137,376
1,184,93,11,404,3137,376
4,63,102,9,403,3275,161
5,46,113,17,403,3031,382
1,185,93,15,404,3137,370
4,64,103,7,403,3281,161
5,47,115,8,403,3037,378
1,186,94,7,404,3137,369
4,65,105,5,403,3275,161
4,65,105,5,403,3275,161
5,48,118,9,403,3037,381
1,187,96,43,404,3143,375
4,66,108,27,403,3281,164
5,49,108,35,403,3043,382
4,67,109,26,403,3275,174
5,50,100,65,403,3037,545
1,189,100,46,404,3143,369
4,68,116,30,403,3275,152
1,190,93,59,404,3150,379
4,69,112,27,403,3275,169
4,70,115,27,403,3281,166
1,192,97,28,404,3156,382
4,71,116,12,403,3281,166
1,193,98,11,404,3156,591
4,72,118,21,403,3281,167
1,194,111,34,404,3156,375
4,73,114,23,403,3281,154
1,195,117,37,404,3156,380
4,74,116,16,403,3281,165
1,196,113,26,404,3156,386
4,75,110,12,403,3281,167
1,197,109,29,404,3156,368
4,76,104,18,403,3281,165
1,198,100,20,404,3156,367
4,77,102,9,403,3281,163
1,199,100,12,404,3156,365
2,1,0,572,80,2700,583
4,78,100,4,403,3281,163
1,200,100,16,404,3156,368
2,2,0,39,145,2743,372
4,79,101,10,403,3281,163
1,201,103,14,404,3162,368
2,3,0,14,197,2787,373
2,3,0,14,197,2787,373
4,80,103,7,403,3281,163
2,4,0,12,238,2825,361
2,4,0,12,238,2825,361
1,202,107,14,404,3162,378
4,81,110,6,403,3281,165
2,5,0,15,272,2850,359
1,203,112,15,404,3162,383
4,82,112,6,403,3281,166
2,6,0,8,298,2875,358
1,204,113,8,404,3162,506
4,83,114,4,403,3281,166
2,7,109,11,319,2893,357
2,7,109,11,319,2893,357
2,7,109,11,319,2893,357
1,205,114,7,404,3162,402
4,84,114,3,403,3281,166
2,8,98,11,336,2906,353
1,206,114,13,404,3162,376
4,85,114,4,403,3281,167
2,9,91,48,350,2918,362
1,207,116,31,404,3162,430
4,86,118,27,403,3281,169
2,10,91,63,361,2931,420
1,208,104,19,404,3162,387
4,87,118,18,403,3281,173
2,11,85,201,369,2937,525
1,209,107,34,404,3162,401
4,88,118,18,403,3281,172
2,12,79,45,376,2937,511
1,210,105,21,404,3162,402
4,89,116,19,403,3281,172
2,13,74,4,382,2918,511
1,211,105,13,404,3162,393
4,90,113,4,403,3281,172
2,14,69,11,386,2893,511
1,212,101,9,404,3162,389
4,91,110,5,403,3281,171
1,213,95,10,404,3168,378
4,92,105,3,403,3281,169
1,214,94,11,404,3168,385
1,215,88,16,404,3168,380
4,94,90,15,403,3281,169
1,216,87,38,404,3168,382
4,95,86,38,403,3281,166
1,217,80,17,404,3168,398
4,96,86,25,403,3281,167
3,1,0,561,81,2637,584
1,218,78,23,404,3168,392
4,97,87,12,396,3281,167
3,2,0,1,145,2637,605
1,219,86,9,404,3168,387
4,98,87,6,397,3281,167
3,3,0,1,197,2637,580
1,220,94,11,404,3168,412
4,99,94,24,398,3281,167
3,4,0,1,239,2643,605
1,221,97,6,404,3175,408
4,100,100,5,399,3281,168
3,5,0,1,272,2643,516
4,101,102,7,400,3281,167
3,6,0,1,298,2643,513
1,223,108,5,404,3175,401
3,7,109,1,319,2643,513
1,224,104,8,404,3175,404
4,103,94,4,401,3281,168
3,8,100,1,336,2643,516
4,104,97,6,401,3281,168
1,226,90,26,404,3181,509
4,105,104,26,402,3281,166
3,10,79,1,361,2643,512
3,11,79,2,370,2643,512
1,227,94,24,404,3181,387
4,106,102,26,402,3281,148
1,228,93,17,404,3181,508
4,107,104,24,402,3287,147
3,13,79,2,382,2643,512
1,229,94,13,404,3181,507
4,108,104,7,402,3287,147
2,32,55,1,404,2756,510
3,14,79,1,386,2643,512
3,14,79,1,386,2643,512
1,230,95,11,404,3187,505
4,109,107,12,402,3281,164
2,33,55,3,404,2756,511
3,15,46,15,390,2643,495
1,231,103,19,404,3187,521
4,110,103,18,403,3287,166
2,34,55,3,404,2750,510
1,232,103,10,404,3187,507
4,111,98,14,403,3287,166
2,35,55,4,404,2750,511
2,35,55,4,404,2750,511
1,233,103,10,404,3187,508
2,36,62,3,404,2750,510
1,234,103,9,404,3187,505
4,113,99,8,403,3287,166
2,37,66,6,404,2750,511
1,235,103,10,404,3187,516
4,114,99,6,403,3287,167
1,236,82,11,404,3193,508
4,115,98,12,403,3287,166
3,21,122,3,401,2643,511
1,237,75,12,404,3193,508
4,116,98,7,403,3287,166
3,22,106,3,401,2650,511
0,1,0,511,80,2656,594
1,238,70,7,404,3193,507
4,117,99,4,403,3287,166
2,41,64,1,404,2743,510
0,2,0,87,145,2700,583
1,239,71,9,404,3193,513
4,118,100,7,403,3287,165
0,3,0,33,197,2718,579
3,24,94,1,402,2643,511
1,240,71,6,404,3193,514
4,119,100,4,403,3287,166
0,4,0,88,238,2762,332
1,241,71,7,404,3200,508
1,241,71,7,404,3200,508
4,120,99,7,403,3287,165
0,5,0,22,271,2812,306
1,242,84,13,404,3200,507
4,121,99,11,403,3287,166
0,6,0,18,298,2850,320
1,243,99,10,404,3200,512
4,122,99,7,403,3287,165
0,7,0,14,319,2881,323
1,244,99,7,404,3200,509
4,123,98,5,403,3287,166
0,8,0,19,336,2900,326
3,29,54,1,404,2643,511
1,245,98,66,404,3200,576
4,124,99,43,403,3293,171
0,9,237,23,349,2912,330
1,246,90,43,404,3206,501
4,125,108,20,403,3293,174
0,10,232,63,360,2925,338
1,247,81,27,404,3206,336
4,126,108,20,403,3287,174
0,11,232,39,369,2937,336
4,127,108,31,403,3287,169
1,248,80,19,404,3206,333
0,12,232,78,376,2950,315
1,249,80,32,404,3206,337
4,128,155,35,403,3293,172
0,13,232,29,381,2956,326
1,250,80,14,404,3212,354
4,129,152,25,403,3287,174
0,14,94,27,386,2962,325
1,251,80,24,404,3212,350
1,251,80,24,404,3212,350
4,130,150,24,403,3293,174
0,15,94,24,389,2968,316
3,36,57,1,404,2650,511
1,252,103,12,404,3212,341
4,131,141,8,403,3287,174
0,16,79,18,392,2975,309
1,253,94,5,404,3212,337
4,132,126,8,403,3293,175
0,17,75,19,395,2981,310
1,254,96,9,404,3212,336
4,133,120,7,403,3287,175
0,18,69,18,396,2987,311
1,255,88,6,404,3212,336
4,134,118,6,403,3287,175
0,19,68,14,398,2993,312
3,40,60,15,404,2650,510
1,256,90,9,404,3218,336
4,135,123,5,403,3293,175
0,20,71,20,399,3000,310
1,257,82,5,404,3218,336
4,136,125,5,403,3287,175
0,21,72,16,400,3006,312
1,258,79,8,404,3218,335
4,137,125,7,403,3287,176
0,22,71,16,401,3006,315
1,259,79,6,404,3218,336
4,138,125,5,403,3287,176
0,23,90,18,401,3012,319
1,260,80,4,404,3225,337
1,260,80,4,404,3225,337
4,139,110,6,403,3293,177
0,24,100,19,402,3012,319
1,261,76,6,404,3225,338
4,140,92,7,403,3293,179
